"FC1"	"FC2"	"FC3"
"mmu-miR-30a-3p"	-2.54228445389293	-2.10137191158657	0.440912542306352
"mmu-miR-30a-5p"	-2.32451673144981	-2.47413112343536	-0.149614391985555
"mmu-miR-30b-3p"	-0.412347408921039	-0.00161646520091822	0.410730943720121
"mmu-miR-30b-5p"	-2.94245891551009	-1.42515336489219	1.51730555061789
"mmu-miR-30c-1-3p"	-1.61530710971715	-2.29087215921921	-0.675565049502063
"mmu-miR-30c-2-3p"	-2.31700858724042	-2.64738333895038	-0.330374751709955
"mmu-miR-30c-5p"	-2.83907218104696	-2.30862964463751	0.53044253640945
"mmu-miR-30d-3p"	-1.31000871629548	-1.12394150403328	0.186067212262195
"mmu-miR-30d-5p"	-0.891576836567711	-0.970364196724839	-0.0787873601571289
"mmu-miR-30e-3p"	-1.31463370417168	-0.881242567962485	0.433391136209192
"mmu-miR-30e-5p"	-1.77854498462077	-1.83724735976417	-0.0587023751434071
"mmu-miR-31-3p"	-2.64081573545467	-1.71881824745595	0.921997487998727
"mmu-miR-31-5p"	-2.32777415703685	-1.83716956964607	0.490604587390778
"mmu-miR-3102-3p"	-2.52685954615759	-1.11657557684938	1.41028396930821
"mmu-miR-3102-5p.2-5p"	-1.76789484627847	-3.11477555161121	-1.34688070533274
"mmu-miR-3109-3p"	-3.33327306848137	-3.72321958679739	-0.389946518316014
"mmu-miR-32-5p"	-2.46275062892381	-2.33328333228078	0.129467296643029
"mmu-miR-320-3p"	-2.0128263220487	-2.07600475570456	-0.0631784336558598
"mmu-miR-322-3p"	1.85902444465561	2.01217331626411	0.153148871608494
"mmu-miR-322-5p"	1.35662792705717	1.31571700882041	-0.0409109182367562
"mmu-miR-324-3p"	-1.82163914806385	-1.98083774291311	-0.159198594849254
"mmu-miR-324-5p"	-0.409390936137702	-0.447458976971221	-0.0380680408335194
"mmu-miR-328-3p"	-0.578617970509745	-2.09864156806255	-1.52002359755281
"mmu-miR-33-5p"	-2.24756760448802	-0.913384357694019	1.334183246794
"mmu-miR-330-3p"	-0.229186635350121	-2.3853775257586	-2.15619089040848
"mmu-miR-330-5p"	-0.701560258035007	-1.89907109114922	-1.19751083311421
"mmu-miR-331-3p"	-3.86531638275498	-2.54088143225704	1.32443495049794
"mmu-miR-331-5p"	-2.76921979317083	-4.75672884898764	-1.9875090558168
